n,replicate,shuffle_id,n_disjoint,members
5,11,0,199,yahoo_038g1_017g2_045g3 yahoo_047g1_005g2_048g3 yahoo_007g1_024g2_069g3 yahoo_003g1_070g2_027g3 yahoo_037g1_035g2_028g3
5,12,0,199,yahoo_097g1_000g2_003g3 yahoo_027g1_023g2_050g3 yahoo_030g1_025g2_045g3 yahoo_003g1_060g2_037g3 yahoo_067g1_020g2_013g3
5,13,0,199,yahoo_039g1_049g2_012g3 yahoo_064g1_030g2_006g3 yahoo_000g1_003g2_097g3 yahoo_032g1_054g2_014g3 yahoo_023g1_062g2_015g3
5,14,0,199,yahoo_036g1_004g2_060g3 yahoo_010g1_017g2_073g3 yahoo_047g1_014g2_039g3 yahoo_034g1_062g2_004g3 yahoo_073g1_005g2_022g3
5,15,0,199,yahoo_053g1_029g2_018g3 yahoo_043g1_016g2_041g3 yahoo_047g1_000g2_053g3 yahoo_046g1_028g2_026g3 yahoo_063g1_024g2_013g3
5,16,0,199,yahoo_005g1_028g2_067g3 yahoo_000g1_065g2_035g3 yahoo_019g1_040g2_041g3 yahoo_079g1_020g2_001g3 yahoo_007g1_080g2_013g3
5,17,0,199,yahoo_055g1_008g2_037g3 yahoo_006g1_077g2_017g3 yahoo_001g1_002g2_097g3 yahoo_088g1_010g2_002g3 yahoo_027g1_037g2_036g3
5,18,0,199,yahoo_078g1_010g2_012g3 yahoo_003g1_046g2_051g3 yahoo_029g1_035g2_036g3 yahoo_052g1_025g2_023g3 yahoo_023g1_061g2_016g3
5,19,0,199,yahoo_053g1_041g2_006g3 yahoo_016g1_046g2_038g3 yahoo_042g1_035g2_023g3 yahoo_047g1_027g2_026g3 yahoo_045g1_009g2_046g3
5,20,0,199,yahoo_002g1_027g2_071g3 yahoo_045g1_045g2_010g3 yahoo_040g1_005g2_055g3 yahoo_016g1_066g2_018g3 yahoo_009g1_013g2_078g3
5,21,0,199,yahoo_018g1_046g2_036g3 yahoo_020g1_053g2_027g3 yahoo_006g1_056g2_038g3 yahoo_008g1_084g2_008g3 yahoo_009g1_007g2_084g3
5,22,0,199,yahoo_018g1_039g2_043g3 yahoo_011g1_050g2_039g3 yahoo_010g1_051g2_039g3 yahoo_037g1_032g2_031g3 yahoo_028g1_020g2_052g3
5,23,0,199,yahoo_033g1_012g2_055g3 yahoo_000g1_080g2_020g3 yahoo_017g1_047g2_036g3 yahoo_018g1_053g2_029g3 yahoo_013g1_038g2_049g3
5,24,0,199,yahoo_000g1_027g2_073g3 yahoo_020g1_022g2_058g3 yahoo_042g1_015g2_043g3 yahoo_023g1_063g2_014g3 yahoo_054g1_022g2_024g3
5,25,0,199,yahoo_042g1_044g2_014g3 yahoo_008g1_057g2_035g3 yahoo_010g1_080g2_010g3 yahoo_054g1_037g2_009g3 yahoo_011g1_056g2_033g3
5,26,0,199,yahoo_025g1_062g2_013g3 yahoo_034g1_066g2_000g3 yahoo_005g1_050g2_045g3 yahoo_019g1_003g2_078g3 yahoo_041g1_006g2_053g3
5,27,0,199,yahoo_031g1_027g2_042g3 yahoo_066g1_031g2_003g3 yahoo_083g1_012g2_005g3 yahoo_031g1_044g2_025g3 yahoo_011g1_008g2_081g3
5,28,0,199,yahoo_019g1_060g2_021g3 yahoo_060g1_024g2_016g3 yahoo_061g1_011g2_028g3 yahoo_045g1_012g2_043g3 yahoo_003g1_048g2_049g3
5,29,0,199,yahoo_036g1_040g2_024g3 yahoo_027g1_004g2_069g3 yahoo_003g1_034g2_063g3 yahoo_074g1_008g2_018g3 yahoo_014g1_014g2_072g3
5,30,0,199,yahoo_022g1_069g2_009g3 yahoo_017g1_042g2_041g3 yahoo_078g1_015g2_007g3 yahoo_008g1_025g2_067g3 yahoo_030g1_060g2_010g3
5,31,0,199,yahoo_055g1_016g2_029g3 yahoo_039g1_038g2_023g3 yahoo_042g1_037g2_021g3 yahoo_040g1_002g2_058g3 yahoo_067g1_030g2_003g3
5,32,0,199,yahoo_036g1_037g2_027g3 yahoo_038g1_018g2_044g3 yahoo_023g1_055g2_022g3 yahoo_038g1_010g2_052g3 yahoo_042g1_056g2_002g3
5,33,0,199,yahoo_030g1_065g2_005g3 yahoo_002g1_014g2_084g3 yahoo_008g1_053g2_039g3 yahoo_038g1_052g2_010g3 yahoo_043g1_029g2_028g3
5,34,0,199,yahoo_017g1_069g2_014g3 yahoo_036g1_028g2_036g3 yahoo_006g1_037g2_057g3 yahoo_039g1_015g2_046g3 yahoo_042g1_043g2_015g3
5,35,0,199,yahoo_040g1_009g2_051g3 yahoo_000g1_070g2_030g3 yahoo_043g1_037g2_020g3 yahoo_069g1_027g2_004g3 yahoo_073g1_025g2_002g3
5,36,0,199,yahoo_068g1_011g2_021g3 yahoo_026g1_052g2_022g3 yahoo_027g1_029g2_044g3 yahoo_088g1_007g2_005g3 yahoo_011g1_038g2_051g3
5,37,0,199,yahoo_084g1_001g2_015g3 yahoo_083g1_005g2_012g3 yahoo_085g1_004g2_011g3 yahoo_025g1_009g2_066g3 yahoo_060g1_005g2_035g3
5,38,0,199,yahoo_025g1_070g2_005g3 yahoo_065g1_011g2_024g3 yahoo_002g1_008g2_090g3 yahoo_013g1_042g2_045g3 yahoo_023g1_059g2_018g3
5,39,0,199,yahoo_059g1_023g2_018g3 yahoo_009g1_066g2_025g3 yahoo_019g1_045g2_036g3 yahoo_002g1_047g2_051g3 yahoo_050g1_010g2_040g3
5,40,0,199,yahoo_078g1_004g2_018g3 yahoo_002g1_029g2_069g3 yahoo_064g1_012g2_024g3 yahoo_009g1_070g2_021g3 yahoo_025g1_045g2_030g3
5,41,0,199,yahoo_067g1_025g2_008g3 yahoo_077g1_009g2_014g3 yahoo_050g1_040g2_010g3 yahoo_028g1_013g2_059g3 yahoo_004g1_079g2_017g3
5,42,0,199,yahoo_084g1_008g2_008g3 yahoo_006g1_078g2_016g3 yahoo_019g1_069g2_012g3 yahoo_062g1_002g2_036g3 yahoo_001g1_079g2_020g3
5,43,0,199,yahoo_029g1_060g2_011g3 yahoo_056g1_021g2_023g3 yahoo_019g1_018g2_063g3 yahoo_018g1_059g2_023g3 yahoo_016g1_072g2_012g3
5,44,0,199,yahoo_010g1_004g2_086g3 yahoo_057g1_029g2_014g3 yahoo_003g1_033g2_064g3 yahoo_009g1_049g2_042g3 yahoo_009g1_077g2_014g3
5,45,0,199,yahoo_064g1_002g2_034g3 yahoo_028g1_018g2_054g3 yahoo_021g1_045g2_034g3 yahoo_019g1_079g2_002g3 yahoo_017g1_018g2_065g3
5,46,0,199,yahoo_051g1_009g2_040g3 yahoo_049g1_003g2_048g3 yahoo_016g1_035g2_049g3 yahoo_031g1_022g2_047g3 yahoo_023g1_033g2_044g3
5,47,0,199,yahoo_040g1_044g2_016g3 yahoo_042g1_019g2_039g3 yahoo_034g1_054g2_012g3 yahoo_054g1_036g2_010g3 yahoo_061g1_008g2_031g3
5,48,0,199,yahoo_022g1_066g2_012g3 yahoo_065g1_015g2_020g3 yahoo_060g1_013g2_027g3 yahoo_067g1_009g2_024g3 yahoo_019g1_081g2_000g3
5,49,0,199,yahoo_027g1_053g2_020g3 yahoo_094g1_001g2_005g3 yahoo_068g1_031g2_001g3 yahoo_032g1_012g2_056g3 yahoo_024g1_068g2_008g3
5,50,0,199,yahoo_061g1_033g2_006g3 yahoo_071g1_018g2_011g3 yahoo_013g1_044g2_043g3 yahoo_046g1_033g2_021g3 yahoo_009g1_018g2_073g3
5,51,0,199,yahoo_080g1_007g2_013g3 yahoo_000g1_032g2_068g3 yahoo_002g1_093g2_005g3 yahoo_028g1_055g2_017g3 yahoo_052g1_017g2_031g3
5,52,0,199,yahoo_010g1_011g2_079g3 yahoo_014g1_075g2_011g3 yahoo_035g1_024g2_041g3 yahoo_000g1_059g2_041g3 yahoo_006g1_054g2_040g3
5,53,0,199,yahoo_000g1_028g2_072g3 yahoo_011g1_047g2_042g3 yahoo_027g1_000g2_073g3 yahoo_012g1_000g2_088g3 yahoo_033g1_040g2_027g3
5,54,0,199,yahoo_006g1_067g2_027g3 yahoo_040g1_028g2_032g3 yahoo_006g1_094g2_000g3 yahoo_010g1_024g2_066g3 yahoo_000g1_073g2_027g3
5,55,0,199,yahoo_054g1_029g2_017g3 yahoo_028g1_031g2_041g3 yahoo_038g1_045g2_017g3 yahoo_010g1_046g2_044g3 yahoo_004g1_080g2_016g3
5,56,0,199,yahoo_006g1_085g2_009g3 yahoo_039g1_053g2_008g3 yahoo_023g1_025g2_052g3 yahoo_033g1_014g2_053g3 yahoo_006g1_015g2_079g3
5,57,0,199,yahoo_075g1_006g2_019g3 yahoo_052g1_023g2_025g3 yahoo_053g1_009g2_038g3 yahoo_026g1_017g2_057g3 yahoo_023g1_070g2_007g3
5,58,0,199,yahoo_031g1_045g2_024g3 yahoo_034g1_056g2_010g3 yahoo_032g1_002g2_066g3 yahoo_015g1_063g2_022g3 yahoo_061g1_014g2_025g3
5,59,0,199,yahoo_058g1_041g2_001g3 yahoo_045g1_052g2_003g3 yahoo_025g1_071g2_004g3 yahoo_048g1_014g2_038g3 yahoo_002g1_095g2_003g3
5,60,0,199,yahoo_046g1_000g2_054g3 yahoo_046g1_045g2_009g3 yahoo_039g1_052g2_009g3 yahoo_008g1_036g2_056g3 yahoo_010g1_056g2_034g3
5,61,0,199,yahoo_019g1_073g2_008g3 yahoo_007g1_083g2_010g3 yahoo_021g1_029g2_050g3 yahoo_049g1_013g2_038g3 yahoo_012g1_075g2_013g3
5,62,0,199,yahoo_064g1_006g2_030g3 yahoo_013g1_058g2_029g3 yahoo_010g1_078g2_012g3 yahoo_034g1_014g2_052g3 yahoo_044g1_012g2_044g3
5,63,0,199,yahoo_017g1_026g2_057g3 yahoo_007g1_017g2_076g3 yahoo_037g1_016g2_047g3 yahoo_041g1_028g2_031g3 yahoo_034g1_016g2_050g3
5,64,0,199,yahoo_041g1_051g2_008g3 yahoo_081g1_014g2_005g3 yahoo_059g1_020g2_021g3 yahoo_076g1_017g2_007g3 yahoo_019g1_063g2_018g3
5,65,0,199,yahoo_019g1_033g2_048g3 yahoo_024g1_066g2_010g3 yahoo_059g1_012g2_029g3 yahoo_075g1_005g2_020g3 yahoo_031g1_006g2_063g3
5,66,0,199,yahoo_037g1_062g2_001g3 yahoo_058g1_028g2_014g3 yahoo_009g1_080g2_011g3 yahoo_065g1_032g2_003g3 yahoo_080g1_018g2_002g3
5,67,0,199,yahoo_012g1_023g2_065g3 yahoo_028g1_036g2_036g3 yahoo_044g1_031g2_025g3 yahoo_011g1_089g2_000g3 yahoo_067g1_018g2_015g3
5,68,0,199,yahoo_015g1_040g2_045g3 yahoo_064g1_013g2_023g3 yahoo_027g1_032g2_041g3 yahoo_039g1_030g2_031g3 yahoo_005g1_051g2_044g3
5,69,0,199,yahoo_006g1_000g2_094g3 yahoo_012g1_071g2_017g3 yahoo_031g1_065g2_004g3 yahoo_022g1_043g2_035g3 yahoo_038g1_034g2_028g3
5,70,0,199,yahoo_018g1_028g2_054g3 yahoo_026g1_022g2_052g3 yahoo_035g1_004g2_061g3 yahoo_014g1_066g2_020g3 yahoo_004g1_012g2_084g3
5,71,0,199,yahoo_052g1_000g2_048g3 yahoo_025g1_059g2_016g3 yahoo_029g1_019g2_052g3 yahoo_055g1_040g2_005g3 yahoo_028g1_029g2_043g3
5,72,0,199,yahoo_007g1_009g2_084g3 yahoo_043g1_003g2_054g3 yahoo_035g1_002g2_063g3 yahoo_016g1_024g2_060g3 yahoo_029g1_001g2_070g3
5,73,0,199,yahoo_064g1_020g2_016g3 yahoo_002g1_037g2_061g3 yahoo_084g1_007g2_009g3 yahoo_021g1_058g2_021g3 yahoo_058g1_018g2_024g3
5,74,0,199,yahoo_046g1_039g2_015g3 yahoo_028g1_025g2_047g3 yahoo_087g1_002g2_011g3 yahoo_059g1_041g2_000g3 yahoo_039g1_009g2_052g3
5,75,0,199,yahoo_030g1_043g2_027g3 yahoo_069g1_003g2_028g3 yahoo_077g1_021g2_002g3 yahoo_000g1_016g2_084g3 yahoo_064g1_027g2_009g3
5,76,0,199,yahoo_026g1_072g2_002g3 yahoo_004g1_033g2_063g3 yahoo_060g1_033g2_007g3 yahoo_013g1_005g2_082g3 yahoo_031g1_000g2_069g3
5,77,0,199,yahoo_017g1_072g2_011g3 yahoo_017g1_054g2_029g3 yahoo_006g1_079g2_015g3 yahoo_010g1_034g2_056g3 yahoo_050g1_003g2_047g3
5,78,0,199,yahoo_007g1_081g2_012g3 yahoo_071g1_008g2_021g3 yahoo_019g1_021g2_060g3 yahoo_052g1_010g2_038g3 yahoo_009g1_019g2_072g3
5,79,0,199,yahoo_030g1_048g2_022g3 yahoo_085g1_001g2_014g3 yahoo_041g1_038g2_021g3 yahoo_049g1_014g2_037g3 yahoo_082g1_001g2_017g3
5,80,0,199,yahoo_018g1_025g2_057g3 yahoo_085g1_006g2_009g3 yahoo_012g1_068g2_020g3 yahoo_001g1_069g2_030g3 yahoo_020g1_060g2_020g3
5,81,0,199,yahoo_054g1_002g2_044g3 yahoo_002g1_010g2_088g3 yahoo_015g1_023g2_062g3 yahoo_028g1_001g2_071g3 yahoo_014g1_018g2_068g3
5,82,0,199,yahoo_030g1_020g2_050g3 yahoo_032g1_050g2_018g3 yahoo_006g1_010g2_084g3 yahoo_029g1_057g2_014g3 yahoo_022g1_000g2_078g3
5,83,0,199,yahoo_073g1_021g2_006g3 yahoo_043g1_052g2_005g3 yahoo_033g1_062g2_005g3 yahoo_010g1_055g2_035g3 yahoo_021g1_048g2_031g3
5,84,0,199,yahoo_002g1_071g2_027g3 yahoo_036g1_053g2_011g3 yahoo_019g1_039g2_042g3 yahoo_012g1_080g2_008g3 yahoo_014g1_008g2_078g3
5,85,0,199,yahoo_028g1_057g2_015g3 yahoo_007g1_092g2_001g3 yahoo_037g1_055g2_008g3 yahoo_071g1_014g2_015g3 yahoo_026g1_009g2_065g3
5,86,0,199,yahoo_032g1_047g2_021g3 yahoo_000g1_031g2_069g3 yahoo_010g1_032g2_058g3 yahoo_070g1_010g2_020g3 yahoo_022g1_055g2_023g3
5,87,0,199,yahoo_016g1_025g2_059g3 yahoo_029g1_050g2_021g3 yahoo_058g1_040g2_002g3 yahoo_062g1_018g2_020g3 yahoo_051g1_033g2_016g3
5,88,0,199,yahoo_035g1_029g2_036g3 yahoo_053g1_018g2_029g3 yahoo_015g1_049g2_036g3 yahoo_030g1_052g2_018g3 yahoo_004g1_088g2_008g3
5,89,0,199,yahoo_064g1_008g2_028g3 yahoo_011g1_015g2_074g3 yahoo_021g1_069g2_010g3 yahoo_022g1_048g2_030g3 yahoo_011g1_027g2_062g3
5,90,0,199,yahoo_021g1_056g2_023g3 yahoo_020g1_079g2_001g3 yahoo_006g1_068g2_026g3 yahoo_044g1_008g2_048g3 yahoo_001g1_066g2_033g3
5,91,0,199,yahoo_018g1_003g2_079g3 yahoo_012g1_006g2_082g3 yahoo_001g1_068g2_031g3 yahoo_011g1_071g2_018g3 yahoo_030g1_028g2_042g3
5,92,0,199,yahoo_038g1_014g2_048g3 yahoo_005g1_080g2_015g3 yahoo_070g1_009g2_021g3 yahoo_057g1_007g2_036g3 yahoo_049g1_001g2_050g3
5,93,0,199,yahoo_068g1_004g2_028g3 yahoo_023g1_016g2_061g3 yahoo_063g1_020g2_017g3 yahoo_027g1_067g2_006g3 yahoo_000g1_001g2_099g3
5,94,0,199,yahoo_001g1_027g2_072g3 yahoo_019g1_023g2_058g3 yahoo_028g1_021g2_051g3 yahoo_058g1_031g2_011g3 yahoo_054g1_021g2_025g3
5,95,0,199,yahoo_040g1_059g2_001g3 yahoo_006g1_017g2_077g3 yahoo_010g1_086g2_004g3 yahoo_005g1_037g2_058g3 yahoo_013g1_027g2_060g3
5,96,0,199,yahoo_032g1_033g2_035g3 yahoo_001g1_018g2_081g3 yahoo_013g1_006g2_081g3 yahoo_069g1_004g2_027g3 yahoo_052g1_026g2_022g3
5,97,0,199,yahoo_057g1_002g2_041g3 yahoo_083g1_017g2_000g3 yahoo_069g1_015g2_016g3 yahoo_007g1_028g2_065g3 yahoo_027g1_022g2_051g3
5,98,0,199,yahoo_012g1_010g2_078g3 yahoo_072g1_004g2_024g3 yahoo_033g1_018g2_049g3 yahoo_007g1_014g2_079g3 yahoo_042g1_041g2_017g3
5,99,0,199,yahoo_040g1_008g2_052g3 yahoo_012g1_021g2_067g3 yahoo_029g1_030g2_041g3 yahoo_016g1_050g2_034g3 yahoo_063g1_018g2_019g3
10,0,0,99,yahoo_026g1_032g2_042g3 yahoo_053g1_043g2_004g3 yahoo_052g1_019g2_029g3 yahoo_059g1_014g2_027g3 yahoo_028g1_011g2_061g3 yahoo_004g1_077g2_019g3 yahoo_033g1_008g2_059g3 yahoo_001g1_026g2_073g3 yahoo_033g1_057g2_010g3 yahoo_048g1_001g2_051g3
10,1,0,99,yahoo_036g1_047g2_017g3 yahoo_013g1_007g2_080g3 yahoo_022g1_051g2_027g3 yahoo_003g1_039g2_058g3 yahoo_003g1_067g2_030g3 yahoo_002g1_066g2_032g3 yahoo_071g1_000g2_029g3 yahoo_054g1_015g2_031g3 yahoo_006g1_058g2_036g3 yahoo_034g1_049g2_017g3
10,2,0,99,yahoo_002g1_073g2_025g3 yahoo_012g1_049g2_039g3 yahoo_009g1_058g2_033g3 yahoo_022g1_009g2_069g3 yahoo_034g1_024g2_042g3 yahoo_028g1_049g2_023g3 yahoo_084g1_002g2_014g3 yahoo_031g1_017g2_052g3 yahoo_081g1_015g2_004g3 yahoo_018g1_008g2_074g3
10,3,0,99,yahoo_023g1_036g2_041g3 yahoo_060g1_040g2_000g3 yahoo_053g1_035g2_012g3 yahoo_090g1_005g2_005g3 yahoo_003g1_047g2_050g3 yahoo_059g1_005g2_036g3 yahoo_014g1_082g2_004g3 yahoo_011g1_070g2_019g3 yahoo_008g1_030g2_062g3 yahoo_059g1_028g2_013g3
10,4,0,99,yahoo_021g1_005g2_074g3 yahoo_001g1_053g2_046g3 yahoo_005g1_009g2_086g3 yahoo_070g1_012g2_018g3 yahoo_004g1_058g2_038g3 yahoo_016g1_044g2_040g3 yahoo_036g1_019g2_045g3 yahoo_024g1_032g2_044g3 yahoo_066g1_012g2_022g3 yahoo_074g1_004g2_022g3
10,5,0,99,yahoo_032g1_053g2_015g3 yahoo_001g1_021g2_078g3 yahoo_050g1_004g2_046g3 yahoo_045g1_002g2_053g3 yahoo_028g1_003g2_069g3 yahoo_038g1_017g2_045g3 yahoo_047g1_005g2_048g3 yahoo_007g1_024g2_069g3 yahoo_003g1_070g2_027g3 yahoo_037g1_035g2_028g3
10,6,0,99,yahoo_097g1_000g2_003g3 yahoo_027g1_023g2_050g3 yahoo_030g1_025g2_045g3 yahoo_003g1_060g2_037g3 yahoo_067g1_020g2_013g3 yahoo_039g1_049g2_012g3 yahoo_064g1_030g2_006g3 yahoo_000g1_003g2_097g3 yahoo_032g1_054g2_014g3 yahoo_023g1_062g2_015g3
10,7,0,99,yahoo_036g1_004g2_060g3 yahoo_010g1_017g2_073g3 yahoo_047g1_014g2_039g3 yahoo_034g1_062g2_004g3 yahoo_073g1_005g2_022g3 yahoo_053g1_029g2_018g3 yahoo_043g1_016g2_041g3 yahoo_047g1_000g2_053g3 yahoo_046g1_028g2_026g3 yahoo_063g1_024g2_013g3
10,8,0,99,yahoo_005g1_028g2_067g3 yahoo_000g1_065g2_035g3 yahoo_019g1_040g2_041g3 yahoo_079g1_020g2_001g3 yahoo_007g1_080g2_013g3 yahoo_055g1_008g2_037g3 yahoo_006g1_077g2_017g3 yahoo_001g1_002g2_097g3 yahoo_088g1_010g2_002g3 yahoo_027g1_037g2_036g3
10,9,0,99,yahoo_078g1_010g2_012g3 yahoo_003g1_046g2_051g3 yahoo_029g1_035g2_036g3 yahoo_052g1_025g2_023g3 yahoo_023g1_061g2_016g3 yahoo_053g1_041g2_006g3 yahoo_016g1_046g2_038g3 yahoo_042g1_035g2_023g3 yahoo_047g1_027g2_026g3 yahoo_045g1_009g2_046g3
10,10,0,99,yahoo_002g1_027g2_071g3 yahoo_045g1_045g2_010g3 yahoo_040g1_005g2_055g3 yahoo_016g1_066g2_018g3 yahoo_009g1_013g2_078g3 yahoo_018g1_046g2_036g3 yahoo_020g1_053g2_027g3 yahoo_006g1_056g2_038g3 yahoo_008g1_084g2_008g3 yahoo_009g1_007g2_084g3
10,11,0,99,yahoo_018g1_039g2_043g3 yahoo_011g1_050g2_039g3 yahoo_010g1_051g2_039g3 yahoo_037g1_032g2_031g3 yahoo_028g1_020g2_052g3 yahoo_033g1_012g2_055g3 yahoo_000g1_080g2_020g3 yahoo_017g1_047g2_036g3 yahoo_018g1_053g2_029g3 yahoo_013g1_038g2_049g3
10,12,0,99,yahoo_000g1_027g2_073g3 yahoo_020g1_022g2_058g3 yahoo_042g1_015g2_043g3 yahoo_023g1_063g2_014g3 yahoo_054g1_022g2_024g3 yahoo_042g1_044g2_014g3 yahoo_008g1_057g2_035g3 yahoo_010g1_080g2_010g3 yahoo_054g1_037g2_009g3 yahoo_011g1_056g2_033g3
10,13,0,99,yahoo_025g1_062g2_013g3 yahoo_034g1_066g2_000g3 yahoo_005g1_050g2_045g3 yahoo_019g1_003g2_078g3 yahoo_041g1_006g2_053g3 yahoo_031g1_027g2_042g3 yahoo_066g1_031g2_003g3 yahoo_083g1_012g2_005g3 yahoo_031g1_044g2_025g3 yahoo_011g1_008g2_081g3
10,14,0,99,yahoo_019g1_060g2_021g3 yahoo_060g1_024g2_016g3 yahoo_061g1_011g2_028g3 yahoo_045g1_012g2_043g3 yahoo_003g1_048g2_049g3 yahoo_036g1_040g2_024g3 yahoo_027g1_004g2_069g3 yahoo_003g1_034g2_063g3 yahoo_074g1_008g2_018g3 yahoo_014g1_014g2_072g3
10,15,0,99,yahoo_022g1_069g2_009g3 yahoo_017g1_042g2_041g3 yahoo_078g1_015g2_007g3 yahoo_008g1_025g2_067g3 yahoo_030g1_060g2_010g3 yahoo_055g1_016g2_029g3 yahoo_039g1_038g2_023g3 yahoo_042g1_037g2_021g3 yahoo_040g1_002g2_058g3 yahoo_067g1_030g2_003g3
10,16,0,99,yahoo_036g1_037g2_027g3 yahoo_038g1_018g2_044g3 yahoo_023g1_055g2_022g3 yahoo_038g1_010g2_052g3 yahoo_042g1_056g2_002g3 yahoo_030g1_065g2_005g3 yahoo_002g1_014g2_084g3 yahoo_008g1_053g2_039g3 yahoo_038g1_052g2_010g3 yahoo_043g1_029g2_028g3
10,17,0,99,yahoo_017g1_069g2_014g3 yahoo_036g1_028g2_036g3 yahoo_006g1_037g2_057g3 yahoo_039g1_015g2_046g3 yahoo_042g1_043g2_015g3 yahoo_040g1_009g2_051g3 yahoo_000g1_070g2_030g3 yahoo_043g1_037g2_020g3 yahoo_069g1_027g2_004g3 yahoo_073g1_025g2_002g3
10,18,0,99,yahoo_068g1_011g2_021g3 yahoo_026g1_052g2_022g3 yahoo_027g1_029g2_044g3 yahoo_088g1_007g2_005g3 yahoo_011g1_038g2_051g3 yahoo_084g1_001g2_015g3 yahoo_083g1_005g2_012g3 yahoo_085g1_004g2_011g3 yahoo_025g1_009g2_066g3 yahoo_060g1_005g2_035g3
10,19,0,99,yahoo_025g1_070g2_005g3 yahoo_065g1_011g2_024g3 yahoo_002g1_008g2_090g3 yahoo_013g1_042g2_045g3 yahoo_023g1_059g2_018g3 yahoo_059g1_023g2_018g3 yahoo_009g1_066g2_025g3 yahoo_019g1_045g2_036g3 yahoo_002g1_047g2_051g3 yahoo_050g1_010g2_040g3
10,20,0,99,yahoo_078g1_004g2_018g3 yahoo_002g1_029g2_069g3 yahoo_064g1_012g2_024g3 yahoo_009g1_070g2_021g3 yahoo_025g1_045g2_030g3 yahoo_067g1_025g2_008g3 yahoo_077g1_009g2_014g3 yahoo_050g1_040g2_010g3 yahoo_028g1_013g2_059g3 yahoo_004g1_079g2_017g3
10,21,0,99,yahoo_084g1_008g2_008g3 yahoo_006g1_078g2_016g3 yahoo_019g1_069g2_012g3 yahoo_062g1_002g2_036g3 yahoo_001g1_079g2_020g3 yahoo_029g1_060g2_011g3 yahoo_056g1_021g2_023g3 yahoo_019g1_018g2_063g3 yahoo_018g1_059g2_023g3 yahoo_016g1_072g2_012g3
10,22,0,99,yahoo_010g1_004g2_086g3 yahoo_057g1_029g2_014g3 yahoo_003g1_033g2_064g3 yahoo_009g1_049g2_042g3 yahoo_009g1_077g2_014g3 yahoo_064g1_002g2_034g3 yahoo_028g1_018g2_054g3 yahoo_021g1_045g2_034g3 yahoo_019g1_079g2_002g3 yahoo_017g1_018g2_065g3
10,23,0,99,yahoo_051g1_009g2_040g3 yahoo_049g1_003g2_048g3 yahoo_016g1_035g2_049g3 yahoo_031g1_022g2_047g3 yahoo_023g1_033g2_044g3 yahoo_040g1_044g2_016g3 yahoo_042g1_019g2_039g3 yahoo_034g1_054g2_012g3 yahoo_054g1_036g2_010g3 yahoo_061g1_008g2_031g3
10,24,0,99,yahoo_022g1_066g2_012g3 yahoo_065g1_015g2_020g3 yahoo_060g1_013g2_027g3 yahoo_067g1_009g2_024g3 yahoo_019g1_081g2_000g3 yahoo_027g1_053g2_020g3 yahoo_094g1_001g2_005g3 yahoo_068g1_031g2_001g3 yahoo_032g1_012g2_056g3 yahoo_024g1_068g2_008g3
10,25,0,99,yahoo_061g1_033g2_006g3 yahoo_071g1_018g2_011g3 yahoo_013g1_044g2_043g3 yahoo_046g1_033g2_021g3 yahoo_009g1_018g2_073g3 yahoo_080g1_007g2_013g3 yahoo_000g1_032g2_068g3 yahoo_002g1_093g2_005g3 yahoo_028g1_055g2_017g3 yahoo_052g1_017g2_031g3
